What is the average distance from the Earth to the Sun (in kilometers)?,149,597,870.7
How many liters of blood does the average adult human body contain?,Approximately 5 to 6
What is the maximum number of electrons that can occupy an atomic d orbital?,10
In what year did the Industrial Revolution begin in England?,1760
How many elements are there in the periodic table (as of the last update)?,118
What is the current estimated age of the universe (in years)?,13.8 billion
How many total cards are there in a standard deck of playing cards?,52
What is the temperature of absolute zero (in Kelvin)?,0
How many vertebrae are in the human spine?,33 (including 7 cervical, 12 thoracic, 5 lumbar, 5 sacral, and 4 coccygeal)
What is the approximate length of the Nile River (in kilometers)?,6,650
In what year did the Chernobyl nuclear disaster occur?,1986
How many taste buds does the average human tongue have?,Approximately 2,000 to 8,000
What is the speed of sound in air at sea level (in meters per second)?,343
What is the current estimate for the number of known galaxies in the observable universe?,Over 100 billion
What is the wavelength range of ultraviolet (UV) light (in nanometers)?,10 to 400
How many neurons are estimated to be in the human brain?,Approximately 86 billion
What is the speed of the fastest land animal, the cheetah (in kilometers per hour)?,112
In what year did the Gutenberg Bible, the first major book printed using mass-produced movable metal type, appear?,1455
How many protons are there in a carbon-12 atom?,6
What is the atomic mass of helium (in atomic mass units)?,4.0026
How many moons does Jupiter, the largest planet in our solar system, have?,79
What is the boiling point of water at standard atmospheric pressure (in degrees Celsius)?,100
In what year did the Battle of Hastings, a key event in English history, take place?,1066
How many total symphonies did Ludwig van Beethoven compose?,9
What is the volume of a cube with a side length of 10 centimeters (in cubic centimeters)?,1,000
How many bones are in the human skull?,22
What is the length of the Amazon River (in kilometers)?,6,400
How many keys are on a standard piano?,88
What is the maximum capacity of a standard Dual-Layer DVD (in gigabytes)?,8.5
In what year did the Wright brothers make their first powered, controlled, and sustained airplane flight?,1903
How many chromosomes do dogs have in their somatic cells?,78
What is the average distance between stars in our Milky Way galaxy (in light-years)?,4.24
How many quarts are in a gallon (in the United States)?,4
What is the speed of the slowest mammal, the three-toed sloth (in meters per hour)?,0.03
